#Image,X,Y,Z,Omega,Phi,Kappa,SigmaHoriz,SigmaVert,Latitude,Longitude
Elettra-Carroponte2024-4014_pt.jpg,3.45,-1.11,5.623628,-0.876154,1.746512,118.011289,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4015_pt.jpg,3.45,-1.11,5.623628,-0.767222,1.797659,118.521186,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4016_pt.jpg,3.45,-1.11,5.623628,-0.783193,1.810096,119.030051,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4017_pt.jpg,3.45,-1.11,5.623628,-0.790901,1.779519,119.560465,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4018_pt.jpg,3.45,-1.11,5.623628,-0.776199,1.833145,120.06533,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4019_pt.jpg,3.45,-1.11,5.623628,-0.855827,1.773282,120.597796,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4020_pt.jpg,3.45,-1.11,5.623628,-0.879915,1.739743,121.125937,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4021_pt.jpg,3.45,-1.11,5.623628,-1.000766,1.660426,121.658276,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4022_pt.jpg,3.45,-1.11,5.623628,-0.969038,1.750349,122.152407,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4023_pt.jpg,3.45,-1.11,5.623628,-1.089945,1.71591,122.67913,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4024_pt.jpg,3.45,-1.11,5.623628,-1.187023,1.646341,123.198956,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4025_pt.jpg,3.45,-1.11,5.623628,-1.231544,1.643836,123.708617,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4026_pt.jpg,3.45,-1.11,5.623628,-1.239022,1.612626,124.254671,1.0,0.3,45.64495512343859,13.850640981970612
